Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
Harry Potter and the Philosopher’s Stone,J.K. Rowling,4.47,9392848,149406,223,1997,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1170803558l/72193.jpg,https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone,Fantasy
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,3647256,72580,341,1998,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881.jpg,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,Fantasy
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,3865520,76425,435,1999,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,Fantasy
The Hobbit,J.R.R. Tolkien,4.28,3709210,64963,366,1937,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907.jpg,https://www.goodreads.com/book/show/5907.The_Hobbit,Fantasy
Harry Potter and the Goblet of Fire,J.K. Rowling,4.56,3442808,63249,734,2000,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554006152i/6.jpg,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,Fantasy
Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,3184361,58107,912,2003,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,Fantasy
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.58,3082800,52925,652,2005,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,Fantasy
Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,3504978,80405,759,2007,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251.jpg,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,Fantasy
A Game of Thrones,George R.R. Martin,4.44,2376225,61109,835,1996,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496.jpg,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,Fantasy
The Fellowship of the Ring,J.R.R. Tolkien,4.38,2706688,35169,432,1954,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351.jpg,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,Fantasy
A Clash of Kings,George R.R. Martin,4.41,897994,26728,969,1998,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1567840212i/10572.jpg,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,Fantasy
The Name of the Wind,Patrick Rothfuss,4.52,903049,51320,662,2007,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1270352123i/186074.jpg,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,Fantasy
The Two Towers,J.R.R. Tolkien,4.47,902976,17103,448,1954,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654216149i/61215372.jpg,https://www.goodreads.com/book/show/61215372-the-two-towers,Fantasy
The Return of the King,J.R.R. Tolkien,4.56,841193,16164,432,1955,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654216226i/61215384.jpg,https://www.goodreads.com/book/show/61215384-the-return-of-the-king,Fantasy
A Court of Thorns and Roses,Sarah J. Maas,4.2,1621155,129014,419,2015,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1620324329i/50659467.jpg,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,Fantasy
Six of Crows,Leigh Bardugo,4.5,834049,91316,465,2015,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1651710803i/23437156.jpg,https://www.goodreads.com/book/show/23437156-six-of-crows,Fantasy
The Final Empire,Brandon Sanderson,4.47,601953,44675,537,2006,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1617768316i/68428.jpg,https://www.goodreads.com/book/show/68428.The_Final_Empire,Fantasy
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.23,2646064,30351,206,1950,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915.jpg,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,Fantasy
The Lightning Thief,Rick Riordan,4.3,2736132,86711,377,2005,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187.jpg,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,Fantasy
A Storm of Swords,George R.R. Martin,4.54,749178,24320,1177,2000,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1571318786i/62291.jpg,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,Fantasy
Shadow and Bone,Leigh Bardugo,3.94,881997,79032,358,2012,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1339533695i/10194157.jpg,https://www.goodreads.com/book/show/10194157-shadow-and-bone,Fantasy
A Feast for Crows,George R.R. Martin,4.15,705163,23603,1061,2005,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661026821i/13497.jpg,https://www.goodreads.com/book/show/13497.A_Feast_for_Crows,Fantasy
The Golden Compass,Philip Pullman,4.02,1475134,26802,399,1995,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322.jpg,https://www.goodreads.com/book/show/119322.The_Golden_Compass,Fantasy
Throne of Glass,Sarah J. Maas,4.19,1079241,73073,432,2012,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673566495i/76703559.jpg,https://www.goodreads.com/book/show/76703559-throne-of-glass,Fantasy
Eragon,Christopher Paolini,3.94,1690050,25934,503,2002,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436.jpg,https://www.goodreads.com/book/show/113436.Eragon,Fantasy
A Dance with Dragons,George R.R. Martin,4.33,628302,23841,1125,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1581625286i/10664113.jpg,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,Fantasy
The Cruel Prince,Holly Black,4.07,958459,88097,370,2018,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574535986i/26032825.jpg,https://www.goodreads.com/book/show/26032825-the-cruel-prince,Fantasy
American Gods,Neil Gaiman,4.11,890590,45062,635,2001,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1462924585i/30165203.jpg,https://www.goodreads.com/book/show/30165203-american-gods,Fantasy
The Night Circus,Erin Morgenstern,4.02,909042,96565,400,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387124618i/9361589.jpg,https://www.goodreads.com/book/show/9361589-the-night-circus,Fantasy
A Court of Mist and Fury,Sarah J. Maas,4.63,1178094,104140,624,2016,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1620325671i/50659468.jpg,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,Fantasy
City of Bones,Cassandra Clare,4.08,1930124,72991,485,2007,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683.jpg,https://www.goodreads.com/book/show/256683.City_of_Bones,Fantasy
Twilight,Stephenie Meyer,3.64,6220241,123429,498,2005,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361039443i/41865.jpg,https://www.goodreads.com/book/show/41865.Twilight,Fantasy
A Darker Shade of Magic,V.E. Schwab,4.06,319446,39669,400,2015,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400322851i/22055262.jpg,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic,Fantasy
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,690777,35802,491,1990,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615552073i/12067.jpg,https://www.goodreads.com/book/show/12067.Good_Omens,Fantasy
The Way of Kings,Brandon Sanderson,4.65,437016,30563,1007,2010,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659905828i/7235533.jpg,https://www.goodreads.com/book/show/7235533-the-way-of-kings,Fantasy
Crooked Kingdom,Leigh Bardugo,4.61,562482,63966,561,2016,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1456172607i/22299763.jpg,https://www.goodreads.com/book/show/22299763-crooked-kingdom,Fantasy
Stardust,Neil Gaiman,4.1,430761,23938,248,1998,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1459127484i/16793.jpg,https://www.goodreads.com/book/show/16793.Stardust,Fantasy
Neverwhere,Neil Gaiman,4.17,506347,27810,370,1996,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348747943i/14497.jpg,https://www.goodreads.com/book/show/14497.Neverwhere,Fantasy
A Court of Wings and Ruin,Sarah J. Maas,4.45,954984,69264,699,2017,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585623092i/50659472.jpg,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,Fantasy
The Sea of Monsters,Rick Riordan,4.24,1048849,40376,279,2006,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400602661i/28186.jpg,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters,Fantasy
The Wise Man's Fear,Patrick Rothfuss,4.55,525436,26091,994,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1452624392i/1215032.jpg,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,Fantasy
The Lord of the Rings,J.R.R. Tolkien,4.52,649339,13954,1216,1955,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33.jpg,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,Fantasy
The Well of Ascension,Brandon Sanderson,4.38,412013,24623,592,2007,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1619538925i/68429.jpg,https://www.goodreads.com/book/show/68429.The_Well_of_Ascension,Fantasy
Assassin's Apprentice,Robin Hobb,4.17,301623,15067,435,1995,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673728072i/77197.jpg,https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,Fantasy
Siege and Storm,Leigh Bardugo,3.83,554843,53773,435,2013,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362166252i/14061955.jpg,https://www.goodreads.com/book/show/14061955-siege-and-storm,Fantasy
The Lies of Locke Lamora,Scott Lynch,4.3,278393,19222,752,2006,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1458646334i/29588376.jpg,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,Fantasy
Crown of Midnight,Sarah J. Maas,4.35,688448,50101,432,2013,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673566594i/76705490.jpg,https://www.goodreads.com/book/show/76705490-crown-of-midnight,Fantasy
Harry Potter and the Cursed Child: Parts One and Two,J.K. Rowling,3.5,956448,71943,343,2016,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470082995i/29056083.jpg,https://www.goodreads.com/book/show/29056083-harry-potter-and-the-cursed-child,Fantasy
The Ocean at the End of the Lane,Neil Gaiman,4.02,585561,56546,181,2013,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1497098563i/15783514.jpg,https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane,Fantasy
The Titan's Curse,Rick Riordan,4.36,949452,32445,320,2007,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361038385i/561456.jpg,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse,Fantasy
Graceling,Kristin Cashore,4.07,446470,25907,471,2008,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331548394i/3236307.jpg,https://www.goodreads.com/book/show/3236307-graceling,Fantasy
Red Queen,Victoria Aveyard,4.01,918775,63348,388,2015,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1449778912i/22328546.jpg,https://www.goodreads.com/book/show/22328546-red-queen,Fantasy
Uprooted,Naomi Novik,4.04,222640,28017,438,2015,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1550135418i/22544764.jpg,https://www.goodreads.com/book/show/22544764-uprooted,Fantasy
