Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
Harry Potter and the Philosopher’s Stone,J.K. Rowling,4.47,"9,392,848 ratings","149,406 reviews","223 pages, Paperback","First published June 26, 1997",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1170803558l/72193.jpg,https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone,Fantasy
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,"3,647,256 ratings","72,580 reviews","341 pages, Hardcover","First published July 2, 1998",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881.jpg,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,Fantasy
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,"3,865,520 ratings","76,425 reviews","435 pages, Mass Market Paperback","First published July 8, 1999",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,Fantasy
The Hobbit,J.R.R. Tolkien,4.28,"3,709,210 ratings","64,963 reviews","366 pages, Paperback","First published September 21, 1937",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907.jpg,https://www.goodreads.com/book/show/5907.The_Hobbit,Fantasy
Harry Potter and the Goblet of Fire,J.K. Rowling,4.56,"3,442,808 ratings","63,249 reviews","734 pages, Paperback","First published July 8, 2000",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554006152i/6.jpg,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,Fantasy
Harry Potter and the Order of the Phoenix,J.K. Rowling,4.50,"3,184,361 ratings","58,107 reviews","912 pages, Paperback","First published June 21, 2003",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,Fantasy
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.58,"3,082,800 ratings","52,925 reviews","652 pages, Paperback","First published July 16, 2005",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,Fantasy
Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,"3,504,978 ratings","80,405 reviews","759 pages, Hardcover","First published July 21, 2007",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251.jpg,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,Fantasy
A Game of Thrones,George R.R. Martin,4.44,"2,376,225 ratings","61,109 reviews","835 pages, Mass Market Paperback","First published August 6, 1996",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496.jpg,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,Fantasy
The Fellowship of the Ring,J.R.R. Tolkien,4.38,"2,706,688 ratings","35,169 reviews","432 pages, Kindle Edition","First published July 29, 1954",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351.jpg,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,Fantasy
